DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,OFFERED_CAPACITY_PRICE_[EUR/MW],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,SETTLEMENTCAPACITY_PRICE_[EUR/MW],NOTE,measurement_name,date_valid
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.48,11,11,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.48,11,11,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.5,38,38,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.5,38,38,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.5,38,38,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.5,38,38,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.52,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.52,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.52,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.52,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.64,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.64,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.64,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.64,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.76,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.76,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.76,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.76,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.88,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.88,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.88,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.88,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,1.0,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,1.0,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,1.0,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,1.0,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,1.0,9,9,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
